,Name,Database_ID
0,ARF5,ENSP00000000233
1,M6PR,ENSP00000000412
2,FKBP4,ENSP00000001008
3,NDUFAF7,ENSP00000002125
4,FUCA2,ENSP00000002165
5,CYP51A1,ENSP00000003100
6,HSPB6,ENSP00000004982
7,USH1C,ENSP00000005226
8,RALA,ENSP00000005257
9,BAIAP2L1,ENSP00000005260
10,RPAP3,ENSP00000005386
11,CEACAM7,ENSP00000006724
12,RHBDD2,ENSP00000006777
13,NDUFAB1,ENSP00000007516
14,CD9,ENSP00000009180
15,CD74,ENSP00000009530
16,RPS20,ENSP00000009589
17,MGST1,ENSP00000010404
18,RANBP9,ENSP00000011619
19,TSPAN9,ENSP00000011898
20,QPCTL,ENSP00000012049
21,PPP5C,ENSP00000012443
22,NME1,ENSP00000013034
23,UBR7,ENSP00000013070
24,PTBP1,ENSP00000014112
25,GPRC5A,ENSP00000014914
26,HEBP1,ENSP00000014930
27,RALBP1,ENSP00000019317
28,VDAC3,ENSP00000022615
29,CDH17,ENSP00000027335
30,GABARAPL2,ENSP00000037243
31,FAM136A,ENSP00000037869
32,MRI1,ENSP00000040663
33,BOD1L1,ENSP00000040738
34,PSMA4,ENSP00000044462
35,LCP2,ENSP00000046794
36,GOPC,ENSP00000052569
37,DCN,ENSP00000052754
38,MRPS10,ENSP00000053468
39,GRN,ENSP00000053867
40,VAMP3,ENSP00000054666
41,RCN1,ENSP00000054950
42,RFC2,ENSP00000055077
43,GNA11,ENSP00000078429
44,MRPS35,ENSP00000081029
45,HDHD5,ENSP00000155674
46,GPKOW,ENSP00000156109
47,AQR,ENSP00000156471
48,ST6GALNAC1,ENSP00000156626
49,LMCD1,ENSP00000157600
50,PSMC4,ENSP00000157812
51,ICAM3,ENSP00000160262
52,CAMSAP3,ENSP00000160298
53,CEACAM1,ENSP00000161559
54,GOLGA5,ENSP00000163416
55,PYGM,ENSP00000164139
56,KRT20,ENSP00000167588
57,HSD17B10,ENSP00000168216
58,ST6GAL1,ENSP00000169298
59,TIMM21,ENSP00000169551
60,MKRN2,ENSP00000170447
61,KEAP1,ENSP00000171111
62,ISOC1,ENSP00000173527
63,ASNS,ENSP00000175506
64,ALDH3A2,ENSP00000176643
65,STK10,ENSP00000176763
66,CA12,ENSP00000178638
67,TIGAR,ENSP00000179259
68,CPB2,ENSP00000181383
69,NDUFB4,ENSP00000184266
70,ERLEC1,ENSP00000185150
71,CLIC5,ENSP00000185206
72,SLC25A3,ENSP00000188376
73,FAP,ENSP00000188790
74,CTSA,ENSP00000191018
75,GAL3ST2,ENSP00000192314
76,PLOD1,ENSP00000196061
77,OXCT1,ENSP00000196371
78,RPS5,ENSP00000196551
79,DIMT1,ENSP00000199320
80,MRPL28,ENSP00000199706
81,RBM22,ENSP00000199814
82,HSD17B2,ENSP00000199936
83,ZW10,ENSP00000200135
84,TRIP6,ENSP00000200457
85,LAMP2,ENSP00000200639
86,RPL6,ENSP00000202773
87,OAS1,ENSP00000202917
88,TRMT6,ENSP00000203001
89,UQCRC1,ENSP00000203407
90,GMIP,ENSP00000203556
91,MLF2,ENSP00000203630
92,ARHGAP4,ENSP00000203786
93,SPG21,ENSP00000204566
94,GOLGA3,ENSP00000204726
95,EFNB1,ENSP00000204961
96,GLG1,ENSP00000205061
97,DLD,ENSP00000205402
98,APOH,ENSP00000205948
99,SPAG7,ENSP00000206020
100,PSME1,ENSP00000206451
101,OSGEP,ENSP00000206542
102,UNC13D,ENSP00000207549
103,AAAS,ENSP00000209873
104,CBX5,ENSP00000209875
105,PSMD5,ENSP00000210313
106,NANS,ENSP00000210444
107,MAPK13,ENSP00000211287
108,BAG6,ENSP00000211379
109,VCL,ENSP00000211998
110,TMED1,ENSP00000214869
111,PSMD8,ENSP00000215071
112,ATP5F1D,ENSP00000215375
113,IGFALS,ENSP00000215539
114,NDUFB7,ENSP00000215565
115,TECR,ENSP00000215567
116,TIMM13,ENSP00000215570
117,CDC34,ENSP00000215574
118,MISP,ENSP00000215582
119,SERPIND1,ENSP00000215727
120,SNAP29,ENSP00000215730
121,MIF,ENSP00000215754
122,SF3A1,ENSP00000215793
123,SNRPD3,ENSP00000215829
124,MAPK1,ENSP00000215832
125,SLC25A1,ENSP00000215882
126,LGALS1,ENSP00000215909
127,MICALL1,ENSP00000215957
128,KDELR3,ENSP00000216014
129,TOMM22,ENSP00000216034
130,RTCB,ENSP00000216038
131,GTPBP1,ENSP00000216044
132,PPP6R2,ENSP00000216061
133,LMF2,ENSP00000216080
134,HMOX1,ENSP00000216117
135,NIPSNAP1,ENSP00000216121
136,MCM5,ENSP00000216122
137,TTLL12,ENSP00000216129
138,TXN2,ENSP00000216185
139,EIF3D,ENSP00000216190
140,ST13,ENSP00000216218
141,RBX1,ENSP00000216225
142,PHF5A,ENSP00000216252
143,ACO2,ENSP00000216254
144,RIPK3,ENSP00000216274
145,PAPOLA,ENSP00000216277
146,HSP90AA1,ENSP00000216281
147,NID2,ENSP00000216286
148,SUPT16H,ENSP00000216297
149,FKBP3,ENSP00000216330
150,PYGL,ENSP00000216392
