Original comparison,Species,Protein Name,"seq coverage 0,5fmol/µg","seq coverage 5fmol/µg","seq coverage 12,5fmol/µg","seq coverage 25fmol/µg","seq coverage50fmol/µg","shared peptides, 0.5fmol/µg","shared peptides, 5fmol/µg","shared peptides, 12.5fmol/µg","shared peptide, 25fmol/µg","shared peptide, 50fmol/µg","discriminant peptides, 0.5fmol/µg","discriminant peptides, 5fmol/µg","discriminant peptides, 12.5fmol/µg","discriminant peptides, 25fmol/µg","discriminant peptides, 50fmol/µg",Mol. weight [kDa],Protein description,A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank,,,
50Vs5,UPS1,sp|P01344,0%,12%,14%,14%,14%,0,0,0,0,0,0,2,2,2,2,20140.8, Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1,5.05E+09,4.79E+09,4.90E+09,4.59E+08,4.65E+08,4.73E+08,32.23,32.16,32.19,28.77,28.79,28.82,4.24062,0.00006,0.15049,3.39933,3.18439,3.18439,1,0,1,1,,,
50Vs5,UPS1,sp|P55957,0%,8%,31%,38%,48%,0,0,0,0,0,0,1,3,5,6,21995.3, BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1,7.55E+09,7.37E+09,7.70E+09,7.98E+08,8.16E+08,7.67E+08,32.81,32.78,32.84,29.57,29.60,29.52,4.02423,0.00009,0.12384,3.24803,3.03552,3.03552,1,0,1,2,,,
50Vs5,UPS1,sp|O76070,0%,13%,57%,74%,72%,0,0,0,0,0,0,1,4,7,8,13329.6, Gamma-synuclein OS=Homo sapiens GN=SNCG PE=1 SV=2,1.42E+10,1.39E+10,1.35E+10,8.49E+08,7.93E+08,8.63E+08,33.73,33.70,33.65,29.66,29.56,29.68,3.95256,0.00011,0.09738,4.05533,3.82985,3.82985,1,0,1,3,,,
50Vs5,UPS1,sp|P15559,0%,3%,7%,10%,13%,0,0,0,0,0,0,1,2,2,3,30869.0, NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1,8.15E+09,7.49E+09,7.73E+09,7.25E+08,7.51E+08,7.95E+08,32.92,32.80,32.85,29.43,29.48,29.57,3.61269,0.00024,0.09127,3.36320,3.14884,3.14884,1,0,1,7,,,
50Vs5,UPS1,sp|P01375,0%,0%,16%,23%,41%,0,0,0,0,0,0,0,2,3,5,25645.0, Tumor necrosis factor OS=Homo sapiens GN=TNF PE=1 SV=1,1.44E+10,1.44E+10,1.43E+10,5.91E+08,6.44E+08,7.11E+08,33.75,33.75,33.73,29.14,29.26,29.41,3.52565,0.00030,0.08674,4.47373,4.24153,4.24153,1,0,1,9,,,
50Vs5,UPS1,sp|P01579,0%,8%,19%,17%,21%,0,0,0,0,0,0,1,3,2,3,19349.2, Interferon gamma OS=Homo sapiens GN=IFNG PE=1 SV=1,5.51E+09,5.34E+09,5.32E+09,4.54E+08,3.96E+08,4.49E+08,32.36,32.31,32.31,28.76,28.56,28.74,3.49167,0.00032,0.07035,3.64033,3.42152,3.42152,1,0,1,12,,,
50Vs5,UPS1,sp|P01133,0%,0%,1%,1%,1%,0,0,0,0,0,0,0,1,1,1,133993.6, Pro-epidermal growth factor OS=Homo sapiens GN=EGF PE=1 SV=2,1.51E+09,1.61E+09,1.40E+09,1.15E+08,1.06E+08,1.15E+08,30.49,30.58,30.38,26.78,26.66,26.77,3.45908,0.00035,0.07000,3.74960,3.52903,3.52903,1,0,1,13,,,
50Vs5,UPS1,sp|P12081,0%,3%,6%,14%,35%,0,0,0,0,0,0,2,3,7,13,57412.5," Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS PE=1 SV=2",2.13E+10,2.07E+10,2.04E+10,4.56E+09,4.14E+09,4.47E+09,34.31,34.27,34.25,32.09,31.95,32.06,3.37059,0.00043,0.07438,2.24340,2.04703,2.04703,1,0,1,15,,,
50Vs5,UPS1,sp|P16083,0%,8%,17%,24%,42%,0,0,0,0,0,0,1,2,4,6,25918.8, Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens GN=NQO2 PE=1 SV=5,1.61E+10,1.55E+10,1.56E+10,1.23E+09,1.44E+09,1.40E+09,33.90,33.85,33.87,30.19,30.42,30.38,3.36135,0.00044,0.06704,3.53957,3.32237,3.32237,1,0,1,17,,,
50Vs5,UPS1,sp|P00918,0%,6%,11%,12%,16%,0,0,0,0,0,0,1,2,2,4,29246.6, Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2,7.83E+09,7.61E+09,7.46E+09,5.67E+08,6.48E+08,6.79E+08,32.87,32.82,32.80,29.08,29.27,29.34,3.30200,0.00050,0.06533,3.59957,3.38141,3.38141,1,0,1,20,,,
