Original comparison,Species,Majority protein IDs,Fasta headers,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank
50Vs0.5,UPS,P63279ups,>P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human),7,7,7,53.8,53.8,53.8,18.007,1.13E+08,1.12E+08,1.12E+08,,,,26.7473,26.745,26.7402,22.1921,22.1527,22.1647,5.17357,6.70548E-06,0.01760189,4.57434,3.46912318,3.46912318,1,1,1,1
50Vs0.5,UPS,P01375ups,">P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)",6,6,6,66.2,66.2,66.2,17.352,3.93E+08,3.83E+08,3.90E+08,,,,28.5515,28.5118,28.5399,22.1921,22.1527,22.1647,5.16847,6.78469E-06,0.008904905,6.36458,4.822558416,4.822558416,1,1,1,2
50Vs0.5,UPS,P00167ups,">P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)",7,7,7,55.7,55.7,55.7,16.153,2.49E+08,2.56E+08,2.56E+08,,,,27.8918,27.9329,27.9291,22.1921,22.1527,22.1647,5.03068,9.31794E-06,0.008153199,5.74811,4.356502345,4.356502345,1,1,1,3
50Vs0.5,UPS,P02787ups,>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human),28,28,27,48.7,48.7,47.4,75.181,6.41E+08,6.70E+08,6.65E+08,,,,29.2567,29.3187,29.3083,22.1921,22.1527,22.1647,5.00361,9.91722E-06,0.006508176,7.12474,5.397245234,5.397245234,1,1,1,4
50Vs0.5,UPS,P00915ups,>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human),9,9,9,51.5,51.5,51.5,28.739,2.51E+08,2.61E+08,2.57E+08,,,,27.9022,27.9581,27.9355,22.1921,22.1527,22.1647,4.91965,1.20323E-05,0.006316977,5.76211,4.367086453,4.367086453,1,1,1,5
50Vs0.5,UPS,P68871ups,>P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human),10,10,10,87.7,87.7,87.7,15.867,3.23E+08,3.08E+08,3.14E+08,,,,28.2666,28.1983,28.2272,22.1921,22.1527,22.1647,4.84266,1.43661E-05,0.006285185,6.06088,4.592958876,4.592958876,1,1,1,6
50Vs0.5,UPS,P51965ups,">P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)",4,4,4,33.7,33.7,33.7,22.227,9.44E+07,9.52E+07,9.27E+07,,,,26.4919,26.5049,26.4656,22.1921,22.1527,22.1647,4.83984,1.44597E-05,0.005422396,4.31764,3.275056002,3.275056002,1,1,1,7
50Vs0.5,UPS,P04040ups,>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human),25,25,25,56.5,56.5,56.5,59.624,9.93E+08,9.97E+08,1.07E+09,,,,29.8867,29.8925,29.9886,22.1921,22.1527,22.1647,4.68982,2.04258E-05,0.00670223,7.75278,5.872048314,5.872048314,1,1,1,8
50Vs0.5,UPS,P55957ups,>P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human),7,7,7,52.8,52.8,52.8,21.994,2.84E+08,2.98E+08,2.83E+08,,,,28.0814,28.1514,28.0758,22.1921,22.1527,22.1647,4.68478,2.06643E-05,0.006027078,5.93304,4.49631085,4.49631085,1,1,1,9
50Vs0.5,UPS,P01579ups,>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human),5,5,5,45.5,45.5,45.5,16.776,1.93E+08,1.96E+08,2.04E+08,,,,27.523,27.5492,27.6051,22.1921,22.1527,22.1647,4.60445,2.48628E-05,0.006526484,5.38928,4.0852241,4.0852241,1,1,1,10
