"Name","Effect.Size","P.Value"
"ARF5",0.104652919757995,0.0110026690749246
"M6PR",0.211516711269195,5.20031116293824e-11
"FKBP4",0.343905172206237,1.13294101332113e-15
"NDUFAF7",0.115371618830525,0.00496107756136578
"FUCA2",-0.0900612776306169,0.0745071132611729
"CYP51A1",0.217115655746922,8.82461980453157e-05
"HSPB6",-2.42931815201245,1.32388316248733e-45
"USH1C",-0.0336752423306388,0.487342555992961
"RALA",0.227168130052972,3.41857447501201e-06
"BAIAP2L1",0.606173225546735,1.42498290583717e-28
"RPAP3",0.356643323249276,4.66424816513169e-37
"CEACAM7",-1.26634586004254,1.65259702390907e-19
"RHBDD2",0.25794830726793,4.88970814923667e-06
"NDUFAB1",0.138279008889531,0.0044543748200258
"CD9",-0.546753453985501,3.92514232893128e-18
"CD74",0.136512798033653,0.0233579022968729
"RPS20",0.390887752807077,1.16031506038801e-30
"MGST1",-0.209377001376681,0.00104349560581242
"RANBP9",-0.0278847277319586,0.371728479665261
"TSPAN9",-0.20716042137166,2.83162053856151e-05
"QPCTL",0.0322039606690705,0.38240484083917
"PPP5C",-0.193893893073336,2.29529489100688e-09
"NME1",0.463648194867179,8.6591349372171e-14
"UBR7",-0.00978747832533413,0.840911984948577
"PTBP1",0.338125436109224,3.78422510166236e-26
"GPRC5A",1.30572955825993,6.16832240885089e-34
"HEBP1",-0.218594148928119,0.000145110921523507
"RALBP1",-0.262403772813986,1.29663428745133e-09
"VDAC3",0.223265589470115,4.97987454835723e-06
"CDH17",-0.256066359428072,0.00193926211989617
"GABARAPL2",-0.459737376785132,7.0004919640701e-24
"FAM136A",0.41399790345709,1.5758989017156e-23
"MRI1",-0.154512086997865,0.00180590242823592
"BOD1L1",0.108076169946991,0.00442564297026003
"PSMA4",0.165308397370268,0.000199570224085792
"LCP2",0.250747744423563,8.81520489978775e-08
"GOPC",0.0248313993384844,0.468977508057761
"DCN",-1.9709961159809,5.13670487940797e-63
"MRPS10",0.294404487259533,5.46586318462761e-11
"GRN",0.0569084358433531,0.310026516519533
"VAMP3",-0.12784153110002,0.000115244011827884
"RCN1",0.870109975816412,5.3061214382879e-26
"RFC2",0.300876319335856,2.9865302513319e-22
"GNA11",-0.586715967629984,1.67336240859422e-59
"MRPS35",0.281757604914571,3.07993771215753e-11
"HDHD5",0.201048037557534,4.87229791894816e-07
"GPKOW",0.383008102398689,9.80126841900123e-35
"AQR",0.0951122930687371,1.50265870725264e-05
"ST6GALNAC1",-0.676943028243506,2.45203537554194e-16
"LMCD1",0.546673892617294,2.70214620817569e-16
"PSMC4",0.271990525399063,3.75452363619255e-30
"ICAM3",0.134440828862135,0.0171696814261127
"CAMSAP3",0.0331371168718918,0.294052969555324
"CEACAM1",-0.24981555506697,0.000218352263635484
"GOLGA5",0.142919001697163,3.80277051444889e-07
"PYGM",-1.55307836766872,3.44542266595707e-54
"KRT20",-0.898523197663042,8.9743717613938e-15
"HSD17B10",0.238298158192082,5.2603540513993e-07
"ST6GAL1",0.515447603740446,3.38262139115555e-16
"TIMM21",-0.211547745116969,2.8129755908524e-09
"MKRN2",0.0447488434134566,0.118806222088145
"KEAP1",-0.0246275992033528,0.453032366558619
"ISOC1",-0.369525802447283,9.37529429873007e-34
"ASNS",0.638314170367685,2.3766938560585e-19
"ALDH3A2",-0.51091692477352,5.46284903994007e-26
"STK10",0.222329174013712,9.70381085840818e-13
"CA12",-1.04625680386321,7.5657610878144e-33
"TIGAR",0.229090096576413,8.14583461915655e-11
"CPB2",-0.171562955966292,0.056831767561875
"NDUFB4",-0.390379860631665,5.34701122179713e-15
"ERLEC1",0.128636085995114,1.0714628398831e-06
"CLIC5",-0.377395176860592,1.26153226802763e-09
"SLC25A3",0.140626353194798,3.71352625573163e-05
"FAP",1.12143178178291,1.37637457883538e-26
"CTSA",-0.0528512716061587,0.399057210719672
"GAL3ST2",-0.326321213690745,1.58702822199229e-05
"PLOD1",0.621748202242169,2.48410002654333e-33
"OXCT1",-0.710062574152071,6.32632027723166e-25
"RPS5",0.457098196378603,5.32945534118152e-38
"DIMT1",0.564110128593297,1.90124751963922e-39
"MRPL28",0.254524670372315,4.79768497970809e-05
"RBM22",0.256152013268871,2.17710699327397e-20
"HSD17B2",-1.29028052442532,2.16704538211771e-29
"ZW10",0.205957382624335,3.71460036623416e-20
"TRIP6",-0.307177023444241,1.55967439782734e-13
"LAMP2",0.318978496011582,4.55429601551124e-12
"RPL6",0.490196775088168,6.27068591110726e-32
"OAS1",0.0952738901210571,0.228556420192458
